Name,Sex,Equipment,Age,BodyweightKg,WeightClassKg,BestBenchKg,BestDeadliftKg,TotalKg,Wilks
Willie Wood,M,Wraps,18,100.11,100,87.5,190,435,264.62
Chris Northern,M,Wraps,18,108.32,110,222.5,162.5,445,263.15
Charles Heller,M,Raw,18,106.91,110,202.5,0,202.5,120.26
Matt Teske,M,Single-ply,18,80.92,82.5,142.5,247.5,595,403.31
Justin Cera,M,Wraps,18,132.45,140,187.5,295,710,400.26
Carter Cera,M,Raw,18,59.1,60,30,85,115,99.45
Pablo Davalos-Alonso,M,Raw,18,77.2,82.5,0,220,220,153.71
Ashley Bassett,F,Raw,18,79.29,82.5,0,130,0,0
Colin Radford,M,Raw,18,83.6,90,0,185,185,122.96
Kate LoSecco,F,Wraps,18,53.84,56,55,127.5,265,321.55
Jennifer Harper,F,Wraps,18,74.84,75,53.5,115,243.5,231.79
Sara Smith,F,Raw,18,107.23,90,62.5,97.5,262.5,214.63
Scott Stengel,M,Raw,18,87.09,90,127.5,215,510,331.25
Zach Herries,M,Raw,18,65.36,67.5,82.5,0,82.5,65.3
Ashton Reichman,M,Raw,18,97.89,100,0,252.5,252.5,155.02
Tai Pillow,M,Raw,18,79.42,82.5,95,210,470,322.35
Sammy Tideman,F,Raw,18,54.79,56,32.5,75,150,179.54
Teresa Espindola,F,Raw,18,71.58,75,55,127.5,270,264.56
Bill Richardson,M,Wraps,18,88.27,90,70,142.5,327.5,211.19
Walt Sword,M,Wraps,18,89.36,90,102.5,166,384.5,246.36
Christy Jones,F,Wraps,18,85.55,90,57.5,132.5,252.5,223.16
Krew Crump,M,Wraps,18,102.78,110,105,175,465,280.02
Shanna Baker,F,Raw,18,132,90,60,125,255,200.46
Danny Capps,M,Raw,18,121.34,125,165,0,165,94.62
Stephanie Thomas,F,Wraps,18,144.79,90,57.5,152.5,317.5,245.47
Terry Watts,M,Wraps,18,98.97,100,127.5,175,452.5,276.54
Tricia Garrett,F,Raw,18,53.57,56,32.5,82.5,160,194.91
Keya Douglas,F,Raw,18,74.93,75,0,142.5,142.5,135.55
Sheri Adewale,F,Raw,18,59.99,60,0,105,105,117.08
Kim Kapper,F,Wraps,18,79.83,82.5,56.7,122.47,292.57,268.02
Mark Nelson,M,Raw,18,91.63,100,115,145,352.5,223.03
Anthony Thorn,M,Raw,18,89.86,90,145,285,657.5,420.08
Michael Jasperson,M,Raw,18,124.24,125,167.5,270,675,385.13
Alexa Taylor,F,Single-ply,18,76.29,82.5,42.5,127.5,262.5,246.93
Steve Candelaria,M,Raw,18,81.65,82.5,172.5,0,172.5,116.28
Jerry Chandler,M,Raw,18,98.88,100,145,0,145,88.65
Chris Nelson,M,Raw,18,65.8,66,55,140,305,240.08
Seamus Diamond,M,Raw,18,72.8,74,100,205,410,298.4
Andy Cussick,M,Single-ply,18,84.8,93,0,280,280,184.58
Ryan Stewart,M,Single-ply,18,92,105,200,0,200,126.29
Aleksander Milewski,M,Raw,18,72.7,74,85,190,435,316.91
Ronan Rush,M,Raw,18,72.6,74,120,155,385,280.77
Ziv Farbman,M,Wraps,15,94.9,100,112.5,200,512.5,318.94
Anatoli Shnaider,M,Wraps,60,77.7,82.5,122.5,215,525,365.23
Vito Buaron,M,Wraps,77,67.1,67.5,55,120,280,216.92
Genadiy Petrenko,M,Wraps,58,74.5,75,85,200,435,311.42
Arthur Fantalis,M,Wraps,54,74.3,75,107.5,180,427.5,306.63
Valery Frenklach,M,Wraps,74,70.7,75,50,110,230,171.06
Andrey Erlin,M,Raw,19,81.7,82.5,0,180,180,121.29
Igor Goldenberg,M,Single-ply,48,121.1,125,190,0,190,109.01
Itsik Zohar,M,Multi-ply,56,87.1,90,215,0,215,139.64
Alon Ben Shahar,M,Multi-ply,53,88.5,90,150,0,150,96.6
Yuri Brodskij,M,Raw,79,66.4,67.5,87.5,0,87.5,68.37
Alexandr Rabinovich,M,Raw,50,76.3,82.5,155,0,155,109.15
Shimon Asayag,M,Raw,62,67.1,67.5,110,0,110,85.22
Philip Katz,M,Raw,43,87.5,90,165,0,165,106.9
David Zijdemans,M,Single-ply,18,67,67.5,130,0,130,100.83
Birger Sundstøl,M,Single-ply,18,71.4,75,115,0,115,84.9
Paul André Solberg,M,Single-ply,18,72,75,90,0,90,66.03
Jan Sandvig,M,Single-ply,18,86.3,90,90,0,90,58.75
Truls Kristensen,M,Single-ply,18,110.6,125,135,0,135,79.32
Øyvind Haugrav,M,Raw,18,133.5,125+,240,0,240,135.12
Sindre Aas,M,Raw,18,72.8,75,80,140,330,240.17
Geir Reidar Hestethun,M,Raw,18,89.5,90,100,0,100,64.02
Rolf A. Halvorsen,M,Raw,18,77.3,82.5,105,135,350,244.32
Johan Heltene,M,Single-ply,18,93.64,105,70,207.5,367.5,230.12
Evelyn Engevik,F,Raw,18,51.9,52,27.5,0,27.5,34.33
Campbell Moore,M,Single-ply,18,82.5,82.5,107.5,160,412.5,276.34
Frederick Miao,M,Single-ply,17,83,83,85,0,85,56.74
Emma Clayton,F,Raw,17,63.62,72,52.5,137.5,290,309.15
Russell Miller,M,Raw,18,84,84,30,75,145,96.11
Shona Davie,F,Raw,18,55.15,57,65,125,305,363.19
Felix Esterbauer,M,Raw,18,93.85,105,80,205,410,256.46
Tyla Watt,M,Raw,18,74,74,82.5,175,257.5,185.22
Bailey Cumming,M,Raw,18,59,59,92.5,160,402.5,348.64
John Myers,M,Single-ply,18,74.2,75,130,260,612.5,439.74
Robert Power,M,Single-ply,18,77.4,82.5,67.5,120,272.5,190.06
Steve Fox,M,Single-ply,18,91,100,117.5,0,117.5,74.6
Phill Menzies,M,Single-ply,18,63.3,60,105,170,425,345.65
Anthony Young,M,Single-ply,18,129.8,125+,180,265,700,396.03
Tanya Horner,F,Single-ply,18,100.3,90,30,0,30,24.96
William Kawana,M,Single-ply,18,99.1,100,60,0,60,36.65
James Wallace,M,Single-ply,18,81.5,82.5,110,0,110,74.24
Patricia Byrne,F,Single-ply,18,70.05,75,35,85,155,154.12
Phil Menzie,M,Single-ply,18,64.9,67.5,115,190,467.5,372.24
Jacinta Read,F,Single-ply,18,56.1,60,72.5,130,325,381.86
Rachel Kendrick,F,Single-ply,18,57.25,60,32.5,72.5,150,173.46
Sonya Rutherford,F,Single-ply,18,67.25,67.5,57.5,127.5,316,323.38
Phillip Menzie,M,Single-ply,18,64.4,67.5,115,180,455,364.65
Leonard Donovan,M,Single-ply,18,63.6,67.5,40,85,172.5,139.73
Brodi Bobos,M,Single-ply,18,74.9,75,82.5,145,360,256.76
Khai Lin Huang,M,Single-ply,18,92.85,100,167.5,0,167.5,105.3
Steve Little,M,Single-ply,18,122.1,125,240,0,240,137.44
Phil Menzie,M,Single-ply,18,68.65,75,125,190,475,361.14
Anthony Biddle,M,Raw,18,99.5,105,117.5,207.5,500,304.91
Alan Howard,M,Raw,18,70.1,74,50,180,365,273.23
Corey Hogan,M,Raw,18,72.9,74,80,170,395,287.2
Daniel Butera,M,Raw,22.5,107.95,120,137.5,225,562.5,333
Isabelle Hemings,F,Raw,15.5,61.75,63,40,97.5,220,239.9
Katie Foster,F,Wraps,18,72,0,75,150,345,336.73
Ben Bouchereau,M,Wraps,18,75.4,0,142.5,230,600,425.96
Matt Brunoli,M,Wraps,18,90.4,0,145,325,732.5,466.58
Nathan Jones,M,Wraps,18,109.6,0,185,310,835,491.94
Odell Manuel,M,Wraps,18,129.7,0,215,367.5,932.5,527.64
Keylynn Westfall,F,Raw,13,82.5,82.5,30,85,182.5,164.24
Stephanie Winchip,F,Raw,17,0,90,57.5,145,322.5,0
Steven Rusell,M,Raw,22,75,75,120,227.5,522.5,372.31
Adam Greeley,M,Raw,36,90,90,162.5,232.5,592.5,378.25
Mark Bowen,M,Raw,57,125,125,130,217.5,552.5,314.84
Robert D'Antonio,M,Raw,50,0,140,162.5,0,162.5,0
Joshua Sweeney,M,Raw,18,82.5,82.5,95,182.5,277.5,185.9
Chuck Cole,M,Raw,60,82.5,82.5,112.5,190,302.5,202.65
McKenna Kozina,F,Raw,15,44,44,37.5,82.5,187.5,264.01
Payton Swagar,F,Raw,13,53.1,56,29.5,67.5,142,174.17
Taylor Mann,F,Raw,17,54.8,56,52.5,97.5,225,269.27
Christine Trac,F,Raw,19,53.6,56,65,130,282.5,343.98
Lori McWatters,F,Raw,46,79.5,82.5,63,130.5,281,258.02
Suzanne Westcott,F,Raw,42,84.4,90,62.5,120,277.5,246.88
Kurt Papineau,M,Raw,17,63,67.5,90,170,400,326.66
Tate Beazley,M,Raw,18,74,75,97.5,210,477.5,343.47
David Kimery,M,Raw,39,78.6,82.5,90,182.5,415,286.54
Paul Butts,M,Raw,46,89.9,90,87.5,152.5,377.5,241.13
Mark Wagner,M,Raw,42,93.3,100,77.5,182.5,395,247.76
Liam Vaness,M,Raw,11,103.2,110,52.5,115,255,153.33
Gord Goodman,M,Raw,67,130.7,140,0,152.5,152.5,86.17
Tammy Nolen,F,Raw,43,54.93,56,45,0,45,53.75
Frank Bottone,M,Raw,46,64.02,67.5,105,0,105,84.57
Chris Eden,M,Raw,27,74.57,75,147.5,0,147.5,105.53
Kohl Yourkovich,M,Raw,18,80.33,82.5,115,0,115,78.31
Bill Lindsey,M,Raw,70,83.52,90,120,0,120,79.81
Maxx Philpott,M,Raw,15,120.93,125,132.5,0,132.5,76.04
Zion King,M,Raw,11,64,67.5,0,60,60,48.34
Todd King,M,Raw,50,107.55,110,0,190,190,112.61
Bob Shirley,M,Raw,63,119.34,125,0,190,190,109.38
Allison Palmer,F,Raw,24,72.57,75,67.5,145,340,330.13
Kristel Barber,F,Raw,38,79.88,82.5,65,135,317.5,290.76
Foster Smith,M,Raw,75,80.83,82.5,42.5,107.5,230,156.01
Edward Eisenberg,M,Raw,69,88.5,90,105,185,440,283.35
Sean Miller,M,Raw,13,45.27,48,57.5,0,57.5,65.84
Frank Soua,M,Raw,59,97.52,100,0,0,0,0
Brooke Black,F,Raw,37,79.56,82.5,37.5,0,37.5,34.42
Vito Lombardo,M,Raw,84,88,90,77.5,0,77.5,50.06
Caden Cooper,M,Raw,6,19.69,30,0,0,0,0
Zion King,M,Raw,12,71.03,75,37.5,0,37.5,27.79
Jared Frey,M,Raw,18,89.22,90,100,192.5,292.5,187.57
Ashley Christiansen,F,Raw,17,43.73,44,45.5,0,45.5,64.33
Mira Pascuzzi,F,Raw,11,37.6,44,25,47.5,115,177.45
Darlene Miller,F,Raw,57,70.9,75,47.5,102.5,232.5,229.29
Kathy Brennan,F,Raw,61,70,75,42.5,107.5,237.5,236.28
Kevin Haberl,M,Raw,57,82.2,82.5,100,175,457.5,307.15
Bob MacPherson,M,Raw,52,130.8,140,100,185,450,254.24
Mechelle Keller-Curtin,F,Raw,59,59.19,60,35,82.5,175,197.18
Amber Welchert,F,Raw,28,71.21,75,57.5,95,232.5,228.61
Jeff Bieterman,M,Raw,60,87.77,90,77.5,142.5,325,210.21
Dave Paladino,M,Raw,50,73.48,75,102.5,182.5,432.5,312.67
Seth Heywood,M,Raw,39,86.64,90,130,182.5,457.5,298
Robert Blaha,M,Raw,45,97.52,100,110,0,110,67.64
Rickey Nelsen,M,Raw,34,70.99,75,140,175,315,233.56
Lynn Strobel,M,Raw,65,106.87,110,0,217.5,217.5,129.19
Francis Fleming,M,Raw,12,37.71,48,30,75,155,224.01
TJ Woolfolk,M,Raw,44,74.84,75,57.5,130,277.5,198.03
Vonda Martin,F,Raw,51,90.26,90,30,0,30,25.89
Patrick Fleming,M,Raw,11,53.12,56,32.5,0,32.5,31.19
John Braun,M,Raw,72,95.2,100,0,210,210,130.5
Robert Marchant,M,Raw,14,70.4,75,62.5,137.5,292.5,218.25
Robert Keefer,M,Raw,70,82,82.5,115,190,460,309.29
Rory King,M,Single-ply,18,98.79,100,120.2,240.4,614.62,375.9
Isaac Zeng,M,Raw,18,108.5,110,179.17,290.3,755.23,446.36
Todd Francisco,M,Single-ply,18,105.05,110,0,0,0,0
Eric Lundell,M,Raw,18,90.99,100,92.99,172.37,433.18,275.02
Bob Palumbo,M,Raw,18,123.38,125,167.83,0,167.83,95.9
Jen Rivers,F,Single-ply,18,58.06,60,47.63,102.06,226.8,259.41
Anthony Mastrandrea,M,Single-ply,18,77.02,82.5,136.08,181.44,501.22,350.73
Vladimir Simonenko,M,Single-ply,18,124.65,125,215.46,0,215.46,122.85
Stefania Oudovkine,F,Raw,18,38.56,44,0,38.56,38.56,58.75
Jason Collins,M,Wraps,18,95.35,100,145.15,251.74,589.67,366.18
Zack Layne,M,Single-ply,18,97.7,100,190.51,297.1,793.79,487.74
Timothy Reese,M,Wraps,18,122.11,125,127.01,213.19,544.31,311.71
Michael Kemper Jr,M,Multi-ply,18,74.3,75,165.56,278.96,730.28,523.8
Tommy Kemble,M,Multi-ply,18,99.25,100,0,0,0,0
Raymond Barth,M,Single-ply,18,106.59,110,0,0,0,0
Jeremiah True,M,Wraps,18,71.03,75,90.72,181.44,408.23,302.56
Dan Higgins,M,Raw,18,98.79,100,138.35,215.46,353.8,216.39
Phil Cummings,M,Raw,18,106.68,110,149.69,204.12,353.8,210.27
Dylan Edward Dotson,M,Raw,18,74.66,75,138.35,190.51,476.27,340.45
Greg Ruth,M,Single-ply,18,71.76,75,108.86,174.63,458.13,336.96
Kyle Decker,M,Multi-ply,18,108.59,110,215.46,299.37,893.58,527.99
Jason Veach,M,Single-ply,18,99.7,100,120.2,272.16,669.05,407.67
Brian Shaw,M,Multi-ply,18,93.89,100,274.42,247.21,786.98,492.17
Cal Neff,M,Raw,18,89.63,90,149.69,231.33,381.02,243.75
Melissa Kennedy,F,Wraps,18,57.97,60,47.63,108.86,249.48,285.7
Karen Linder,F,Raw,18,80.47,82.5,61.23,124.74,274.42,250.28
Brooke Fineis,F,Multi-ply,18,74.89,75,156.49,183.7,601.01,571.87
Megan Chipman,F,Raw,18,93.26,100,52.16,115.67,281.23,239.63
Alexandra Williams,F,Raw,18,94.35,100,61.23,147.42,208.65,177.03
Brannon Williams,M,Wraps,18,122.65,125,176.9,254.01,696.26,398.34
Chris Passaretti,M,Single-ply,18,96.43,100,140.61,0,140.61,86.88
Titus Russell,M,Multi-ply,18,98.43,100,188.24,297.1,485.34,297.28
Sean Queller,M,Wraps,18,72.53,75,92.99,195.04,433.18,316.12
Roy Gottfried,M,Single-ply,18,81.15,82.5,102.06,235.87,542.04,366.77
Gary Craner,M,Raw,18,89.36,90,0,0,0,0
Laurie Ellis,F,Multi-ply,18,98.97,100,113.4,124.74,342.46,286.01
Cameron Parker,M,Raw,18,64.91,67.5,68.04,106.59,265.35,211.25
Scott Podolsky,M,Wraps,18,89.72,90,115.67,206.38,548.85,350.94
Lutz Kaelber,M,Raw,18,89.68,90,127.01,213.19,542.04,346.66
John Zemken,M,Multi-ply,18,102.74,110,238.14,274.42,868.63,523.15
Greg Vigilante,M,Raw,18,74.39,75,142.88,0,142.88,102.39
Brian Shylder,M,Multi-ply,18,89.72,90,210.92,0,210.92,134.86
Evan Hoagland,M,Raw,18,66.68,67.5,0,192.78,192.78,150.11
Fred Glass,M,Multi-ply,18,70.58,75,45.36,167.83,369.68,275.3
Kevin Beck,M,Raw,18,108.64,110,158.76,204.12,362.87,214.38
Audrey Donellan,F,Raw,18,56.61,60,40.82,113.4,229.06,267.23
Danielle Messick,F,Multi-ply,18,51.26,52,47.63,122.47,292.57,368.78
Chris Pine,M,Wraps,18,82.5,82.5,0,0,0,0
Esteben Rubens,M,Wraps,18,100,100,0,0,0,0
Mike Scott,M,Single-ply,18,148.73,140,210.92,235.87,650.91,360.58
Evan Miller,M,Raw,18,89.81,90,120.2,204.12,324.32,207.27
Tim Parrott,M,Raw,18,74.12,75,147.42,0,147.42,105.92
Taylor Thornton,F,Raw,18,42.5,44,0,81.65,81.65,117.59
Lodrina Cherne,F,Raw,18,54.25,56,65.77,145.15,324.32,391.21
Robert Heydenberk,M,Raw,18,98.61,100,183.7,265.35,703.07,430.32
Oleksandr Chub,M,Raw,18,70,75,90,0,90,67.44
Volodymyr Manchuk,M,Raw,18,77.5,82.5,100,0,100,69.69
Sarah Farrar,F,Wraps,18,64.18,67.5,49.9,113.4,256.28,271.42
Santiago Cavazos,M,Raw,18,98.66,100,0,0,0,0
Paul Paldino,M,Wraps,18,189.96,140,151.95,265.35,691.73,369.34
Art McAleer,M,Raw,18,76.66,82.5,127.01,0,127.01,89.16
David Harvey,M,Raw,18,88.54,90,97.52,0,97.52,62.78
John Hart,M,Raw,18,124.56,125,0,272.16,272.16,155.2
Vitali Poulin,M,Raw,18,81.8,82.5,155,0,155,104.37
Michael Sizykh,M,Raw,18,78.2,82.5,112.5,0,112.5,77.93
Vladimir Shumakov,M,Multi-ply,18,80,82.5,150,0,150,102.4
Alexander Nikitin,M,Raw,18,79,82.5,90,0,90,61.94
Sergey Cherny,M,Raw,18,95.3,100,115,0,115,71.43
Dmitry Zherebetsky,M,Raw,18,100,100,130,0,130,79.12
Giovanni Benavides,M,Raw,18,98.97,100,151.95,226.8,537.51,328.5
Tammy Howard,F,Multi-ply,18,65.32,67.5,122.47,0,122.47,128.02
Gus Breault,M,Multi-ply,18,123.6,125,0,0,0,0
Bob Boissey,M,Single-ply,18,115.67,125,149.69,0,149.69,86.84
James Simmons,M,Single-ply,18,83.01,90,172.37,0,430.91,287.61
Bill Lotter,M,Wraps,18,74.66,75,138.35,274.42,648.64,463.66
Jarred Buchanan,M,Raw,18,89.54,90,127.01,195.04,496.68,317.91
Gail McKenzie,F,Raw,18,51.94,52,38.56,86.18,195.04,243.36
Tiffany Soper,F,Raw,18,59.74,60,63.5,127.01,276.69,309.52
Holly Pratt,F,Raw,18,95.8,100,61.23,149.69,328.85,277.53
Mike Bradley,M,Raw,18,93.8,100,129.27,210.92,521.63,326.37
Brook Roberts,M,Raw,18,121.97,125,131.54,185.97,476.27,272.81
Sarah Farrar,F,Wraps,18,59.19,60,54.43,142.88,294.84,332.2
Cody Mahoney,M,Wraps,18,93.26,100,158.76,231.33,573.79,359.97
Robin Edson,F,Multi-ply,18,50.89,52,58.97,145.15,204.12,258.72
Nicholas Heafield,M,Raw,18,80.51,82.5,79.38,170.1,249.48,169.64
David Shepherd,M,Raw,18,97.84,100,92.99,213.19,306.17,188.01
Marina Wemple,F,Raw,18,86,90,61.23,0,61.23,53.98
Dan Welch,M,Raw,18,99.11,100,136.08,0,136.08,83.12
Denise Bloom,F,Wraps,18,43.45,44,45.36,79.38,190.51,270.49
Jane Higgins,F,Wraps,18,51.8,52,40.82,77.11,179.17,224.03
Alice Geiling,F,Wraps,18,54.75,56,31.75,72.57,142.88,171.11
Karen Dodge,F,Wraps,18,54.75,56,31.75,70.31,156.49,187.41
Valerie Thompson,F,Wraps,18,59.96,60,43.09,86.18,197.31,220.09
Amy Chan,F,Wraps,18,90.72,100,47.63,72.57,181.44,156.26
Leon Pelletier,M,Wraps,18,74.93,75,70.31,140.61,294.84,210.23
Jack Stinson,M,Wraps,18,89.31,90,45.36,99.79,201.85,129.37
Kevin Pacinilli,M,Wraps,18,93.17,100,147.42,249.48,582.87,365.84
William Sahlman,M,Wraps,18,121.93,125,86.18,149.69,385.55,220.86
Michael Crate,M,Raw,18,84.73,90,92.99,0,92.99,61.33
Cayte Bona,F,Multi-ply,18,66.63,67.5,72.57,136.08,208.65,214.95
Caleb Wolfe,M,Raw,18,80.65,82.5,61.23,120.2,181.44,123.24
Ashley Schrader,F,Wraps,18,96.16,100,45.36,120.2,258.55,217.93
Jay Wheeler,M,Raw,18,133.9,140,136.08,254.01,390.09,219.51
Alin Pitulen,M,Wraps,18,89.81,90,0,188.24,0,0
James Wesdowski,M,Wraps,18,99.25,100,147.42,278.96,630.49,384.88
Terry Boynton,M,Wraps,18,116.12,125,161.03,272.16,675.85,391.7
Eric Johnson,M,Wraps,18,144.24,140,165.56,224.53,628.23,349.53
Cameron Parker,M,Raw,18,75.98,82.5,83.91,142.88,342.46,241.85
Joe Breen,M,Wraps,18,89.63,90,122.47,213.19,539.77,345.31
Tyler Whiteford,M,Wraps,18,107.05,110,136.08,213.19,560.19,332.54
Ryan Gilman,M,Raw,18,87.72,90,131.54,204.12,335.66,217.17
Bob Boisey,M,Single-ply,18,118.57,125,174.63,0,174.63,100.68
Jamie Matta,M,Multi-ply,18,94.08,100,258.55,249.48,807.39,504.46
Wendy Hayes,F,Raw,18,62.51,67.5,38.56,81.65,170.1,183.77
Valerie Thompson,F,Wraps,18,61.87,67.5,43.09,83.91,201.85,219.78
Tiffany Sopher,F,Wraps,18,59.87,60,65.77,124.74,276.69,309
Terri Tedeschi,F,Wraps,18,74.93,75,43.09,104.33,231.33,220.04
Chuck Mcleary,M,Wraps,18,72.67,75,45.36,120.2,244.94,178.5
Aaron Pyrzynki,M,Wraps,18,87.54,90,161.03,238.14,637.3,412.79
Brad Parkhurst,M,Wraps,18,94.35,100,151.95,235.87,580.6,362.28
Kevin Paciulli,M,Wraps,18,103.24,110,167.83,272.16,666.78,400.86
Peter Aptakin,M,Raw,18,59.87,60,34.02,56.7,90.72,77.53
David Parrott,M,Raw,18,73.75,75,102.06,0,102.06,73.59
Will Palmer,M,Raw,18,81.56,82.5,115.67,0,115.67,78.03
David Harvey,M,Raw,18,97.34,100,120.2,0,120.2,73.97
Jeffrey Linton,M,Wraps,18,126.64,140,204.12,272.16,714.41,406.05
Mace Davis,M,Single-ply,18,123.65,125,176.9,217.72,612.35,349.73
Ross Dominianni,M,Wraps,18,87,90,124.74,204.12,498.95,324.26
Naomi Kutin,F,Wraps,12,46.9,48,47.63,20.41,170.1,229.12
Ari Kutin,M,Raw,11,46.36,52,40.82,106.59,235.87,262.66
Jason Liotti,M,Single-ply,18,75.75,82.5,129.27,0,129.27,91.48
Gabriella Veir,F,Wraps,18,59.87,60,34.02,102.06,226.8,253.28
Lenny Hartman,M,Multi-ply,18,98.38,100,247.21,249.48,814.2,498.83
Daniel Smith,M,Single-ply,18,96.57,100,183.7,274.42,723.48,446.76
Scott Beckham,M,Single-ply,18,105.05,110,165.56,0,165.56,98.91
Mariya Buevskaya,F,Raw,18,47.5,48,47.5,0,47.5,63.39
Alena Zaichenko,F,Raw,18,45,48,35,0,35,48.54
Irina Shkinder,F,Raw,18,52,52,52.5,0,52.5,65.45
Margarita Galaktionova,F,Raw,18,52,52,45,0,45,56.1
Svetlana Ostapenko,F,Raw,18,60.8,67.5,35,0,35,38.62
Vitaliy Kozhokaru,M,Raw,18,81,82.5,165,0,165,111.78
Mykhaylo Sizykh,M,Raw,18,87,90,120,0,120,77.99
Sergiy Chernyy,M,Raw,18,99,100,120,0,120,73.33
Aleksandr Semerenco,M,Raw,18,63.4,67.5,122.5,0,122.5,99.49
Vyacheslav Malyushytskyy,M,Raw,18,90,90,185,0,185,118.1
Andrey Petruk,M,Raw,18,119,125,212.5,0,212.5,122.41
Makar Kalko,M,Multi-ply,18,68.2,75,120,0,120,91.77
Denis Ryadinskiy,M,Multi-ply,18,82.5,82.5,192.5,0,192.5,128.96
Rinat Zaripov,M,Multi-ply,18,88,90,185,0,185,119.49
Kostyantin Chernov,M,Multi-ply,18,82.4,82.5,260,0,260,174.3
Kevin Zybert,M,Single-ply,18,81.83,82.5,124.74,181.44,489.88,329.79
Colleen Zekos,F,Raw,18,60.24,67.5,58.97,120.2,179.17,199.14
Zachary Hall,M,Raw,18,64.41,67.5,90.72,181.44,272.16,218.09
Mike Rosa,M,Raw,18,72.67,75,133.81,206.38,340.19,247.91
Alex Alicea,M,Raw,18,79.74,82.5,86.18,188.24,274.42,187.73
Charles Berthiaume,M,Raw,18,108.32,110,167.83,0,167.83,99.24
Jack MacDonald,M,Raw,18,122.47,125,151.95,0,151.95,86.96
Rebecca Kaiser,F,Multi-ply,18,55.25,56,54.43,104.33,274.42,326.31
Ed Brown,M,Raw,18,99.52,100,0,172.37,290.3,177.02
Keagan Garnett,M,Raw,18,74.66,75,70.31,0,70.31,50.26
Kole Matta,M,Raw,18,41.28,44,0,56.7,56.7,72.7
Scott Glaessgen,M,Raw,18,124.47,125,176.9,244.94,421.84,240.59
Anna Holder,F,Raw,18,90.9,100,49.9,129.27,179.17,154.19
Cheryl L. Berrios,F,Raw,18,59.69,0,54.43,115.67,258.55,289.41
Eric Roberts,M,Wraps,18,82.33,82.5,133.81,195.04,542.04,363.57
Mark Luciano,M,Single-ply,18,107.05,110,0,238.14,0,0
Michael Miller,M,Single-ply,18,97.98,100,113.4,161.03,274.42,168.41
Sean Conlin,M,Single-ply,18,73.94,75,113.4,204.12,478.54,344.42
Corey Connolly,M,Raw,18,50.8,52,49.9,108.86,231.33,232.68
Carolyn Rich,F,Single-ply,18,58.6,60,61.23,158.76,371.95,422.37
Mariko Lytell,F,Raw,18,55.79,56,34.02,86.18,197.31,232.84
John Biscoe,M,Multi-ply,18,130,140,0,208.65,0,0
Patrick McGlone,M,Wraps,18,82.37,82.5,120.2,231.33,537.51,360.42
Mihail Elfimov,M,Raw,18,79.55,82.5,55,130,285,195.27
Krystyn Knapp,F,Wraps,18,63.68,67.5,56.7,138.35,299.37,318.92
Jen Stimpson,F,Wraps,18,82.01,82.5,65.77,145.15,349.27,315.32
Billy Crawford,M,Wraps,18,43.82,52,29.48,74.84,161.03,191.7
Dave Brooker,M,Wraps,18,85.82,90,52.16,113.4,254.01,166.32
James Fog,M,Wraps,18,88.63,90,124.74,204.12,519.36,334.19
Jeff Licht,M,Wraps,18,99.06,100,88.45,149.69,337.93,206.45
David Laszewski,M,Raw,18,80.92,82.5,97.52,145.15,242.67,164.49
Nathan Edwards,M,Raw,18,60.15,67.5,54.43,102.06,240.4,204.56
Kyle Nottingham,M,Raw,18,87.27,90,129.27,238.14,564.72,366.39
Daniel Fields,M,Single-ply,18,109.77,110,149.69,0,149.69,88.15
Sabra Mitchell,F,Raw,41,58.6,60,43.09,113.4,156.49,177.7
Nick Belanger,M,Single-ply,28,117.39,125,242.67,283.5,526.17,304.11
Jake Carl,M,Raw,40,127.01,140,199.58,0,199.58,113.37
Jonathan Chaisson,M,Wraps,18,90.17,100,142.88,231.33,576.06,367.4
Rob Merriweather,M,Wraps,18,124.74,125,183.7,322.05,786.98,448.65
Joanne Skerritt,F,Raw,18,68.04,75,34.02,90.72,204.12,207.15
Allison Poulin,F,Raw,18,81.83,82.5,68.04,145.15,331.12,299.28
Frank Malonay,M,Wraps,18,58.06,60,88.45,142.88,367.41,323.06
Lucas Robillard,M,Raw,18,89.45,90,145.15,199.58,344.73,220.76
Ryan Hernigle,M,Single-ply,18,121.38,125,0,249.48,249.48,143.06
Evan Johnson,M,Raw,13,56.7,60,49.9,102.06,222.27,199.91
Barry Shafar,M,Multi-ply,18,100,100,170.1,0,170.1,103.52
Anna Holder,F,Wraps,18,89.9,90,52.16,127.01,278.96,241.15
Antonino Larosa,M,Raw,18,88,90,131.54,201.85,503.49,325.2
Mike Driver,M,Raw,18,86.55,90,131.54,142.88,439.98,286.75
Justin Scoy,M,Multi-ply,18,94.35,100,165.56,0,165.56,103.31
Kirk A Bankert,M,Single-ply,18,90.54,100,146.28,191.64,517.1,329.12
Darrin Clement,M,Wraps,18,89.63,90,108.86,195.04,460.4,294.54
David D'Alessandro,M,Raw,18,89.18,90,102.06,147.42,374.21,240.02
Caleb Wolfe,M,Wraps,18,85.09,90,65.77,131.54,272.16,179.07
Chuck McCleary,M,Wraps,18,88.9,90,47.63,113.4,240.4,154.44
Michael Soper,M,Raw,18,112.4,125,183.7,226.8,637.3,372.65
Bill Sahlman,M,Wraps,18,119.66,125,95.25,147.42,390.09,224.42
David Resnick,M,Raw,18,82.28,82.5,117.93,0,117.93,79.13
Lindy Falconer,F,Raw,18,89.13,90,45.36,92.99,138.35,120.03
